#### Small Ribosomal Subunit Proteins	40S) ####
RPS0A	YGR214W
RPS0B	YLR048W
RPS1A	YLR441C
RPS1B	YML063W
RPS2	YGL123W
RPS3	YNL178W
RPS4A	YJR145C
RPS4B	YHR203C
RPS5	YJR123W
RPS6A	YPL090C
RPS6B	YBR181C
RPS7A	YOR096W
RPS7B	YNL096C
RPS8A	YBL072C
RPS8B	YER102W
RPS9A	YPL081W
RPS9B	YBR189W
RPS10A	YOR293W
RPS10B	YMR230W
RPS11A	YDR025W
RPS11B	YBR048W
RPS12	YOR369C
RPS13	YDR064W
RPS14A	YCR031C
RPS14B	YJL191W
RPS15	YOL040C
RPS16B	YDL083C
RPS17A	YML024W
RPS17B	YDR447C
RPS18A	YDR450W
RPS18B	YML026C
RPS19A	YOL121C
RPS19B	YNL302C
RPS20	YHL015W
RPS21A	YKR057W
RPS21B	YJL136C
RPS22A	YJL190C
RPS22B	YLR367W
RPS23A	YGR118W
RPS23B	YPR132W
RPS24A	YER074W
RPS25A	YGR027C
RPS25B	YLR333C
RPS26B	YER131W
RPS27A	YKL156W
RPS27B	YHR021C
RPS28A	YKL179C
RPS28B	YLR264W
RPS29A	YLR388W
RPS29B	YDL061C
RPS31	YLR167W

#### Large Ribosomal Subunit Proteins	60S) ####
RPL1A	YPL220W
RPL1B	YGL135W
RPL2A	YFR031C-A
RPL2B	YIL018W
RPL3	YOR063W
RPL5	YPL131W
RPL6A	YML073C
RPL6B	YLR448W
RPL7A	YGL076C
RPL8A	YHL033C
RPL8B	YLL045C
RPL9A	YGL147C
RPL9B	YNL067W
RPL10	YLR075W
RPL11A	YPR102C
RPL11B	YGR085C
RPL12A	YEL054C
RPL12B	YDR418W
RPL13A	YDL082W
RPL13B	YMR142C
RPL14A	YKL006W
RPL14B	YHL001W
RPL15A	YLR029C
RPL16A	YIL133C
RPL16B	YNL069C
RPL17A	YKL180W
RPL17B	YJL177W
RPL18A	YOL120C
RPL18B	YNL301C
RPL19A	YBR084C-A
RPL19B	YBL027W
RPL20A	YMR242C
RPL20B	YOR312C
RPL21A	YBR191W
RPL21B	YPL079W
RPL22A	YLR061W
RPL23A	YBL087C
RPL23B	YER117W
RPL24A	YGL031C
RPL24B	YGR148C
RPL25	YOL127W
RPL26A	YLR344W
RPL26B	YGR034W
RPL27A	YHR010W
RPL27B	YDR471W
RPL28	YGL103W
RPL30	YGL030W
RPL31A	YDL075W
RPL32	YBL092W
RPL33A	YPL143W
RPL33B	YOR234C
RPL34A	YER056C-A
RPL34B	YLR409C
RPL35A	YDL191W
RPL35B	YDL136W
RPL36A	YMR194W
RPL37A	YLR185W
RPL37B	YDR500C
RPL38	YLR325C
RPL40A	YIL148W
RPL40B	YKR094C
RPL42A	YNL162W
RPL42B	YHR141C

#### Acidic Ribosomal Proteins ####
RPP0	YLR340W
RPP1A	YDL081C
RPP2A	YOL039W
RPP2B	YDR382W

#### Translation Initiation Factors ####
TIF1	YKR059W
TIF2	YJL138C
SUI3	YPL237W
CDC33	YOL139C

#### Translation Elongation Factors ####
YEF3	YLR249W
EFB1	YAL003W

#### Aminoacyl-tRNA Synthetases ####
GRS1	YBR121C
WRS1	YOL097C

#### Ribosome Biogenesis Factors ####
MRT4	YKL009W
TMA19	YKL056C
EGD1	YPL037C
EGD2	YHR193C
NOP56	YLR197W
NOP58	YOR310C
GAR1	YHR089C
CBF5	YLR175W
SNU13	YEL026W

#### RNA-Binding Proteins and Chaperones ####
SSZ1	YHR064C
SSB2	YNL209W
STM1	YLR150W
ASC1	YMR116C

#### RNA Polymerase Subunits ####
RPA49	YNL248C
RPC40	YPR110C
RPB8	YOR224C

#### Nucleotide Metabolism ####
GUK1	YDR454C
PRS1	YKL181W
APT1	YML022W
URA5	YML106W
GUA1	YLR451W

#### Other Translation-Associated ####
CAF20	YOR276W
SES1	YDR023W
SUR4	YLR372W
YDR417C	YDR417C
YOR309C	YOR309C


